,Ecoul,Elong,Total
0,81870640.73123772,917392089.3579257,999262730.0891632
1,80985549.37797593,922300693.3920296,1003286242.7700056
2,80475881.8291001,907445842.2898475,987921724.1189474
3,81149249.86841762,921849718.838163,1002998968.7065804
