,Ecoul,Elong,Total
0,69690967.29195239,143607779.91900387,213298747.2109563
1,68708965.73479666,141320158.1884987,210029123.9232953
2,69253823.55556881,143024531.69548243,212278355.25105122
3,69448955.4961569,142651058.9636546,212100014.4598115
