,Number of Atoms,Reciprocal,Time,Reciprocal(Integral),Time.1,error,%Reduction in Time(For Integral),Reciprocal(3DFFT),Time.2,error.1,Real,Real(lammps),Time.3,Total(lammps),Total,Elong(lammps)
0,200,6556.119276545114,0.03459484980000001,6556.119274008166,0.0312673088,2.5369476134000003e-06,34.84809444860299,6376.705199755435,0.033918919400000004,179.41407678967843,-869.2963729417694,-869.25803,9.50514e-05,-115.88,-115.57829972737454,753.37803
1,400,4740.055373715552,0.116763236,4740.055373001691,0.0510422474,7.138611182e-07,56.34861638858388,4754.234677375685,0.0397726506,14.179303660133701,-631.6086444412584,-632.46612,0.000350615,-7497.0279,-7496.355677387144,-6864.5618
2,600,17554.467788932332,0.26102067619999997,17554.467787264828,0.058548785199999995,1.6675025109999998e-06,77.56149801886673,17459.600163778643,0.0479654258,94.86762515369192,-2158.700617735094,-2158.8831,0.0007591872,-2011.784,-2011.4364387949172,147.09907
3,800,21385.450364209548,0.44206069560000005,21385.450356748144,0.1157724518,7.4614028562e-06,74.53741548966583,21396.8030323091,0.0610946848,11.352668099554284,2254.7997996691506,2254.9336,0.0013931535999999998,430.43245,430.6453505558173,-1824.5012
4,1000,14825.543250053994,0.6366378898,14825.54325673384,0.096082637,6.6798449554e-06,84.90471895094892,14052.73536130579,0.0664761994,772.8078887482025,2227.585256937267,2227.4784,0.002141161,-11959.159,-11958.87750966234,-14186.638
5,1500,36470.774632805565,1.5471649562,36470.77462255042,0.20660861700000002,1.02551362944e-05,86.550703050394,35006.520613226836,0.095571025,1464.254019578718,10434.640720601697,10437.245,0.0047657608,3387.7696,3387.4063284268645,-7049.4754
6,3000,94882.19585031722,5.737036681,94882.19583076068,0.4133180987999999,1.95565546164e-05,92.78029730658201,93614.79727888058,0.2323868918,1267.3985714366368,-4684.736465545588,-4683.6405,0.018479204200000002,3163.28,3161.441334810856,7846.9205
7,6000,239304.21988424574,24.6118312208,239304.21994699072,1.2183380543999998,6.27450121102e-05,95.04724065557204,234650.89472894455,0.7394687612,4653.325155301189,32564.646043643977,32582.576,0.0724772816,97797.503,97796.82982796813,65214.927
8,12000,210733.20511437504,98.6832220906,210733.2052266568,3.7950055812000003,0.00011228172807040001,96.15442919556402,204441.91482640695,2.6242169624,6291.290287968068,-160774.65220562942,-160807.4,0.2900536244,-298186.69,-298185.5192910975,-137379.29
