File,Reciprocal,Time,Reciprocal(Integral),Time,error,%Reduction in Time(For Integral),Reciprocal(3DFFT),Time,error,Real,Time,Total
POSCAR1,6556.119276545111461,0.030970021000000,6556.119274008174216,0.017531438000000,0.000002536937245,43.392230828645545,6376.705199755436297,0.033723007000000,179.414076789675164,-869.296372941769050,0.000096124000000,-115.578299727377271 
,6556.119276545109642,0.029916678000000,6556.119274008164211,0.033466148000000,0.000002536945431,11.864519182243438,6376.705199755436297,0.035046327000000,179.414076789673345,-869.296372941769619,0.000097725000000,-115.578299727379999 
,6556.119276545109642,0.041768416000000,6556.119274008163302,0.028530851000000,0.000002536946340,31.692762780374533,6376.705199755436297,0.033537704000000,179.414076789673345,-869.296372941769278,0.000090944000000,-115.578299727379090 
,6556.119276545121465,0.038723513000000,6556.119274008169668,0.057484765000000,0.000002536951797,48.449250975757288,6376.705199755436297,0.034534782000000,179.414076789685168,-869.296372941769505,0.000092163000000,-115.578299727368176 
,6556.119276545121465,0.031595621000000,6556.119274008164211,0.019323342000000,0.000002536957254,38.841708475994182,6376.705199755436297,0.032752777000000,179.414076789685168,-869.296372941769278,0.000098301000000,-115.578299727368176 
 
 
POSCAR2,4740.055373715557835,0.118573026000000,4740.055373001707267,0.038899459000000,0.000000713850568,67.193669325770600,4754.234677375686260,0.039433040000000,14.179303660128426,-631.608644441258207,0.000346195000000,-7496.355677387140531 
,4740.055373715568749,0.105863584000000,4740.055373001694534,0.046053335000000,0.000000713874215,56.497472256370990,4754.234677375686260,0.038347267000000,14.179303660117512,-631.608644441257979,0.000349576000000,-7496.355677387128708 
,4740.055373715561473,0.116804626000000,4740.055373001679982,0.050623502000000,0.000000713881491,56.659677160389172,4754.234677375686260,0.039847500000000,14.179303660124788,-631.608644441259230,0.000345555000000,-7496.355677387137803 
,4740.055373715523274,0.118476467000000,4740.055373001674525,0.057652514000000,0.000000713848749,51.338425714534516,4754.234677375685351,0.040112888000000,14.179303660162077,-631.608644441258775,0.000353256000000,-7496.355677387175092 
,4740.055373715550559,0.124098477000000,4740.055373001699991,0.061982427000000,0.000000713850568,50.053837485854075,4754.234677375686260,0.041122558000000,14.179303660135702,-631.608644441257979,0.000358493000000,-7496.355677387146898 
 
 
POSCAR3,17554.467788932386611,0.261177714000000,17554.467787264853541,0.055173350000000,0.000001667533070,78.875169265016225,17459.600163778643036,0.047369044000000,94.867625153743575,-2158.700617735092237,0.000763873000000,-2011.436438794862624 
,17554.467788932277472,0.255637656000000,17554.467787264806248,0.056468823000000,0.000001667471224,77.910600541572791,17459.600163778643036,0.045877723000000,94.867625153634435,-2158.700617735094966,0.000763584000000,-2011.436438794975402 
,17554.467788932193798,0.253172405000000,17554.467787264788058,0.065083061000000,0.000001667405741,74.292987815950951,17459.600163778643036,0.049847293000000,94.867625153550762,-2158.700617735094966,0.000760842000000,-2011.436438795059075 
,17554.467788932415715,0.281015119000000,17554.467787264846265,0.063336970000000,0.000001667569450,77.461365699686780,17459.600163778643036,0.051450280000000,94.867625153772678,-2158.700617735094966,0.000756783000000,-2011.436438794837159 
,17554.467788932401163,0.254100487000000,17554.467787264868093,0.052681722000000,0.000001667533070,79.267366772106968,17459.600163778643036,0.045282789000000,94.867625153758127,-2158.700617735096330,0.000750854000000,-2011.436438794851711 
 
 
POSCAR4,21385.450364209402323,0.427342532000000,21385.450356748275226,0.083300363000000,0.000007461127097,80.507354929043203,21396.803032309100672,0.057291011000000,11.352668099698349,2254.799799669146978,0.001399539000000,430.645350555671030 
,21385.450364209616964,0.427235954000000,21385.450356748318882,0.081203889000000,0.000007461298082,80.993198666982963,21396.803032309100672,0.067458535000000,11.352668099483708,2254.799799669151525,0.001415989000000,430.645350555889308 
,21385.450364209737018,0.426901973000000,21385.450356748100603,0.084508425000000,0.000007461636415,80.204255228401109,21396.803032309100672,0.054888220000000,11.352668099363655,2254.799799669145614,0.001386353000000,430.645350556002086 
,21385.450364209500549,0.492918981000000,21385.450356747995102,0.250704680000000,0.000007461505447,49.138765260897912,21396.803032309100672,0.068034749000000,11.352668099600123,2254.799799669149706,0.001395235000000,430.645350555769255 
,21385.450364209475083,0.435904038000000,21385.450356748027843,0.079144902000000,0.000007461447240,81.843503363003947,21396.803032309100672,0.057800909000000,11.352668099625589,2254.799799669158347,0.001368652000000,430.645350555754703 
 
 
POSCAR5,14825.543250054073724,0.652055091000000,14825.543256733792077,0.094663866000000,0.000006679718354,85.482228832103402,14052.735361305791230,0.066150995000000,772.807888748282494,2227.585256937266877,0.002134832000000,-11958.877509662259399 
,14825.543250054020973,0.630065399000000,14825.543256733899398,0.094772973000000,0.000006679878425,84.958232407236196,14052.735361305791230,0.065956984000000,772.807888748229743,2227.585256937270060,0.002153102000000,-11958.877509662306693 
,14825.543250053995507,0.628514036000000,14825.543256733839371,0.094941242000000,0.000006679843864,84.894332256408035,14052.735361305791230,0.065736992000000,772.807888748204277,2227.585256937273698,0.002146393000000,-11958.877509662328521 
,14825.543250053908196,0.641660746000000,14825.543256733888484,0.098278999000000,0.000006679980288,84.683651039485582,14052.735361305791230,0.065866867000000,772.807888748116966,2227.585256937264148,0.002141992000000,-11958.877509662426746 
,14825.543250053968222,0.630894177000000,14825.543256733772068,0.097756105000000,0.000006679803846,84.505150219511378,14052.735361305789411,0.068669159000000,772.807888748178812,2227.585256937260056,0.002129486000000,-11958.877509662372177 
 
 
POSCAR6,36470.774632805565489,1.428961103000000,36470.774622551041830,0.206422611000000,0.000010254523659,85.554357598213784,35006.520613226835849,0.095055673000000,1464.254019578729640,10434.640720601704743,0.004633154000000,3387.406328426877735 
,36470.774632806409500,1.676875212000000,36470.774622551056382,0.217146222000000,0.000010255353118,87.050543746722155,35006.520613226835849,0.097524483000000,1464.254019579573651,10434.640720601695648,0.005287564000000,3387.406328427714470 
,36470.774632805361762,1.794956992000000,36470.774622549550259,0.212297033000000,0.000010255811503,88.172583858766899,35006.520613226843125,0.096736506000000,1464.254019578518637,10434.640720601682915,0.004642238000000,3387.406328426652180 
,36470.774632805580040,1.431025432000000,36470.774622550459753,0.196968397000000,0.000010255120287,86.235856289100525,35006.520613226843125,0.093499423000000,1464.254019578736916,10434.640720601699286,0.004629986000000,3387.406328426892287 
,36470.774632804874273,1.404006042000000,36470.774622550001368,0.200208822000000,0.000010254872905,85.740173759166765,35006.520613226843125,0.095039040000000,1464.254019578031148,10434.640720601702924,0.004635862000000,3387.406328426186519 
 
 
POSCAR7,94882.195850315591088,5.579007828000000,94882.195830760712852,0.466181660000000,0.000019554878236,91.644004196224259,93614.797278880578233,0.236498764000000,1267.398571435012855,-4684.736465545604005,0.018255992000000,3161.441334809205728 
,94882.195850316566066,5.653188512000000,94882.195830760581885,0.403283176000000,0.000019555984181,92.866270510103234,93614.797278880578233,0.230940576000000,1267.398571435987833,-4684.736465545547617,0.018184811000000,3161.441334810238914 
,94882.195850318457815,5.772913341000000,94882.195830760872923,0.410284123000000,0.000019557584892,92.892945056249019,93614.797278880607337,0.234326014000000,1267.398571437850478,-4684.736465545615829,0.019500350000000,3161.441334812057903 
,94882.195850318326848,5.587166642000000,94882.195830760596436,0.395572525000000,0.000019557730411,92.919979833313164,93614.797278880578233,0.230026049000000,1267.398571437748615,-4684.736465545570354,0.018259502000000,3161.441334811970592 
,94882.195850317191798,6.092907082000000,94882.195830760596436,0.391269010000000,0.000019556595362,93.578286937020451,93614.797278880607337,0.230143056000000,1267.398571436584461,-4684.736465545602186,0.018195366000000,3161.441334810806438 
 
 
POSCAR8,239304.219884244841523,25.006144945999999,239304.219947011035401,1.187459124000000,0.000062766193878,95.251330716652717,234650.894728944520466,0.780639461000000,4653.325155300321057,32564.646043644068413,0.072900660000000,97796.829827967332676 
,239304.219884238933446,24.605423769000001,239304.219946989498567,1.125436738000000,0.000062750565121,95.426062365087489,234650.894728944549570,0.730981453000000,4653.325155294383876,32564.646043643966550,0.072386060000000,97796.829827961337287 
