,Ecoul,Elong,Total
0,68776465.58779918,141335963.47736812,210112429.0651673
1,69378042.30056266,142375926.23722646,211753968.53778923
2,69507940.44476393,143626726.5762134,213134667.0209773
3,69516354.34073228,143845474.7351732,213361829.07590553
