,Number of Atoms,Reciprocal,Time,Reciprocal(Integral),Time.1,error,%Reduction in Time(For Integral),Reciprocal(3DFFT),Time.2,error.1,Real,Real(lammps),Time.3,Total(lammps),Total,Elong(lammps)
0,200,2425.1176652097483,0.0300726052,2425.117666421321,0.0208623278,1.211572817e-06,30.913415139220064,2431.1369234345375,0.034138435,6.019258224789065,-433.07528447950125,-433.08485,0.0001113646,-2521.1267,-2520.9363950088978,-2088.0418
1,400,3827.2636680319506,0.1066249758,3827.263667245889,0.0414168842,7.860614460000001e-07,61.18626575467785,3254.0679388535045,0.0417614386,573.1957291784461,-2602.685758354381,-2603.037,0.00035666159999999997,-7801.7843,-7801.3796418007205,-5198.7473
2,600,9853.397576802547,0.23986537339999997,9853.397576836927,0.0544279356,3.4380355e-08,77.30735110689628,9765.697141020868,0.04796812780000001,87.70043578167606,-2094.8114817535316,-2095.1588,0.0007621560000000002,-5780.9742,-5780.350232168421,-3685.8154
3,800,13110.0399405918,0.41904827440000003,13110.039936175483,0.0756214108,4.4163163692000005e-06,81.92755718260986,12818.005524763632,0.05623048519999999,292.03441582816487,-1718.9126048983503,-1718.9171,0.0017305172,-6661.3,-6660.787767263132,-4942.3829
4,1000,35482.00718649106,0.6426904144,35482.00719143848,0.0990058132,4.9474358092e-06,84.58260695258733,35024.170545402405,0.06543469960000001,457.83664108863593,-4075.1902537811684,-4075.8242,0.0021356232,8841.0302,8841.923054014154,12916.854
5,1500,24170.85643755302,1.410451866,24170.856430277505,0.1611155866,7.275515236e-06,88.57590078052543,23307.13262305784,0.10205794539999999,863.7238144951727,-8480.01576291135,-8481.135,0.005058098799999999,-18156.679,-18156.500143401914,-9675.5441
6,3000,34577.71670590973,5.641801577600001,34577.716698426855,0.3985818366,7.4828727519999985e-06,92.930992250925,33678.25896332395,0.232424841,899.4577425857817,-17923.772720509252,-17929.401,0.018475683599999997,-51041.175,-51040.737650686715,-33111.774
7,6000,61135.530674691756,24.8458813496,61135.53069028101,1.1595661136,1.558924705e-05,95.33335731186342,58751.38848695923,0.7311196944,2384.142187732544,-9461.074059366922,-9468.357,0.0725841456,-83717.998,-83714.90665684952,-74249.641
8,12000,407790.8911949814,100.52128875000001,407790.89118326816,3.8040113096,1.1713244020999999e-05,96.21646252053135,403020.18716335145,2.6551888746,4770.704031629988,-119473.35689626654,-119477.09,0.29151229879999996,17537.19,17538.807754366182,137014.28
