,Number of Threads,Reciprocal PHL,Reciprocal Integral
0,1.0,613.0461367954,12.6138279016
1,2.0,305.7759964118,7.4842628322
2,3.0,213.4817236062,6.331346235
3,4.0,161.746941179,5.710908687599999
4,5.0,139.05419475039997,5.7323177882000005
5,6.0,124.07467771419999,5.4829450182
6,7.0,118.7236442954,5.156054826
7,8.0,113.89635906539999,4.7423897458
8,9.0,109.5774894578,4.4018349394
9,10.0,105.53869105480001,4.0740941134
10,11.0,101.78990113820001,3.7978612486000003
11,12.0,98.38818356520001,3.6908795214000003
12,13.0,98.6419164126,3.6398417502
13,14.0,98.41110125140001,3.7503025934
14,15.0,98.52166353700001,3.6770107355999997
15,16.0,98.49517992480001,3.7528964526000004
16,17.0,98.57501791799999,3.7152259037999995
17,18.0,98.49859199819998,3.822774905
18,19.0,98.28238716540001,3.6729319761999997
19,20.0,98.54349892020001,3.7475831358000002
20,21.0,98.50987125600001,3.7588187528
21,22.0,98.31216007820001,3.8067658344
22,23.0,98.2019734712,3.6538334156
23,24.0,98.2516507182,3.7148113636000004
