,Number of Threads,Reciprocal PHL,Reciprocal Integral
0,1.0,15169.6052504164,178.2614382476
1,2.0,7662.9954263576,122.6901501844
2,3.0,5327.0881458682,109.68557050080001
3,4.0,4038.9042078464,109.40728139560001
4,5.0,3476.4586589875994,113.26503110200001
5,6.0,3129.0636655326,112.11347231959999
6,7.0,2992.2119236032,102.9499137176
7,8.0,2870.752392204801,97.62296529739999
8,9.0,2752.3206933983993,87.95534364939999
9,10.0,2656.3848335716,80.2986894692
10,11.0,2566.1197655464,80.7569460064
11,12.0,2479.4654099644004,76.26825422879999
12,13.0,2477.0563221312,73.90660070599999
13,14.0,2474.2259352192,75.32092512300001
14,15.0,2475.1654615834004,77.45527019099998
15,16.0,2476.415524858,74.35694989599999
16,17.0,2475.2864154782005,77.0393189544
17,18.0,2475.0341320401994,75.2134005002
18,19.0,2477.9204031064,76.28639416559999
19,20.0,2481.4540917192,75.3561880424
20,21.0,2473.9355460728,73.1408104554
21,22.0,2477.294217999,77.44317994640001
22,23.0,2478.3858060402004,78.02983871919999
23,24.0,2478.7417220270004,73.53947654859999
