File,Reciprocal,Time,Reciprocal(Integral),Time,error,%Reduction in Time(For Integral),Reciprocal(3DFFT),Time,error,Real,Time,Total
POSCAR1,8537.094042132514005,0.028297080000000,8537.094161644183259,0.015956519000000,0.000119511669254,43.610722378422089,8092.516214419527387,0.030595659000000,444.577827712986618,1371.795958101137103,0.000096969000000,1785.528203903189024 
,8537.094042132510367,0.026983419000000,8537.094161644188716,0.031734099000000,0.000119511678349,17.605923104110715,8092.516214419527387,0.032530427000000,444.577827712982980,1371.795958101137103,0.000094164000000,1785.528203903185386 
,8537.094042132523100,0.027537311000000,8537.094161644188716,0.025676900000000,0.000119511665616,6.755964661909071,8092.516214419527387,0.033419449000000,444.577827712995713,1371.795958101137103,0.000094825000000,1785.528203903198118 
,8537.094042132510367,0.027071395000000,8537.094161644183259,0.019327068000000,0.000119511672892,28.607048140666564,8092.516214419527387,0.032515794000000,444.577827712982980,1371.795958101137103,0.000095428000000,1785.528203903185386 
,8537.094042132512186,0.026930209000000,8537.094161644188716,0.015985964000000,0.000119511676530,40.639287277718495,8092.516214419527387,0.033704131000000,444.577827712984799,1371.795958101137103,0.000095859000000,1785.528203903187205 
 
 
POSCAR2,24942.128516779481288,0.107500697000000,24942.127900008690631,0.038924610000000,0.000616770790657,63.791295232253240,24342.852467804266780,0.038851149000000,599.276048975214508,4533.967868221956451,0.000358582000000,13229.372792340514934 
,24942.128516779546771,0.114208077000000,24942.127900008730649,0.036369175000000,0.000616770816123,68.155338960833760,24342.852467804266780,0.039397959000000,599.276048975279991,4533.967868221960089,0.000344532000000,13229.372792340584056 
,24942.128516779517668,0.102816587000000,24942.127900008694269,0.037550508000000,0.000616770823399,63.478161359314527,24342.852467804266780,0.038171918000000,599.276048975250887,4533.967868221959179,0.000361452000000,13229.372792340554952 
,24942.128516779495840,0.102462020000000,24942.127900008690631,0.037144277000000,0.000616770805209,63.748248375349220,24342.852467804266780,0.038998372000000,599.276048975229060,4533.967868221960089,0.000354965000000,13229.372792340533124 
,24942.128516779521306,0.102810866000000,24942.127900008701545,0.037085666000000,0.000616770819761,63.928262213062183,24342.852467804263142,0.039257155000000,599.276048975258163,4533.967868221958270,0.000363448000000,13229.372792340558590 
 
 
POSCAR3,16858.918724573864893,0.279260748000000,16858.918248854202830,0.051661443000000,0.000475719662063,81.500642904530210,16202.399652055586557,0.045149164000000,656.519072518278335,1559.565722509060606,0.000758600000000,-5951.600941908458481 
,16858.918724573752115,0.244912925000000,16858.918248853999103,0.056299323000000,0.000475719753013,77.012514549813986,16202.399652055586557,0.045232150000000,656.519072518165558,1559.565722509060379,0.000766154000000,-5951.600941908571258 
,16858.918724573635700,0.233473866000000,16858.918248854075500,0.051644606000000,0.000475719560200,77.879919973569969,16202.399652055586557,0.050806765000000,656.519072518049143,1559.565722509062198,0.000759136000000,-5951.600941908687673 
,16858.918724573857617,0.238718652000000,16858.918248854184640,0.054104489000000,0.000475719672977,77.335458060478658,16202.399652055586557,0.046931250000000,656.519072518271059,1559.565722509062198,0.000760862000000,-5951.600941908465757 
