File,Reciprocal,Time,Reciprocal(Integral),Time,error,%Reduction in Time,Real,Time
POSCAR1,8537.094042132510367,0.037575926000000,8537.094161644183259,0.018272189000000,0.000119511672892,51.372618202409704,1471.861593214606501,0.000093609000000 
,8537.094042132503091,0.029312981000000,8537.094161644183259,0.017171669000000,0.000119511680168,41.419574488176409,1471.861593214606501,0.000094084000000 
,8537.094042132515824,0.035333434000000,8537.094161644181440,0.022343920000000,0.000119511665616,36.762670732768285,1471.861593214606728,0.000093484000000 
,8537.094042132510367,0.077565821000000,8537.094161644183259,0.018987290000000,0.000119511672892,75.521061009590795,1471.861593214606046,0.000821402000000 
,8537.094042132499453,0.028673328000000,8537.094161644190535,0.018401591000000,0.000119511691082,35.823316358673125,1471.861593214606501,0.001318690000000 
 
 
POSCAR2,24942.128516779517668,0.153535638000000,24942.127900008686993,0.033798710000000,0.000616770830675,77.986407299131415,5449.132509182771173,0.000358934000000 
,24942.128516779535857,0.107117443000000,24942.127900008767028,0.037451744000000,0.000616770768829,65.036745696030096,5449.132509182770264,0.000357120000000 
,24942.128516779514030,0.184760735000000,24942.127900008683355,0.038443951000000,0.000616770830675,79.192575197322086,5449.132509182770264,0.000363473000000 
,24942.128516779488564,0.121347238000000,24942.127900008716097,0.041516084000000,0.000616770772467,65.787367982780125,5449.132509182770264,0.000358468000000 
,24942.128516779564961,0.167225816000000,24942.127900008734287,0.039245568000000,0.000616770830675,76.531393932621015,5449.132509182772992,0.000360972000000 
 
 
POSCAR3,16858.918724573781219,0.261741066000000,16858.918248853973637,0.089686176000000,0.000475719807582,65.734770867021680,1177.157826259935746,0.000799930000000 
,16858.918724573770305,0.248521255000000,16858.918248854108242,0.162427500000000,0.000475719662063,34.642411169217695,1177.157826259935291,0.000953558000000 
,16858.918724573697546,0.313011553000000,16858.918248854115518,0.056941877000000,0.000475719582028,81.808378491384303,1177.157826259937565,0.000792354000000 
,16858.918724573832151,0.259931387000000,16858.918248854115518,0.061345114000000,0.000475719716633,76.399497302724740,1177.157826259936655,0.000792914000000 
,16858.918724573839427,0.262640154000000,16858.918248854086414,0.053342190000000,0.000475719753013,79.690009624347084,1177.157826259938702,0.000797761000000 
 
 
POSCAR4,23377.601612111800932,0.421431176000000,23377.601974864788644,0.077604337000000,0.000362752987712,81.585525367017453,-4487.194457313590647,0.001403098000000 
,23377.601612111713621,0.419111460000000,23377.601974864886870,0.075977459000000,0.000362753173249,81.871777259443121,-4487.194457313595194,0.001411485000000 
,23377.601612111971917,0.413563714000000,23377.601974864948716,0.073100466000000,0.000362752976798,82.324255362500210,-4487.194457313591556,0.001408603000000 
,23377.601612111742725,0.415092464000000,23377.601974864996009,0.073282501000000,0.000362753253285,82.345499531882609,-4487.194457313590647,0.001408571000000 
,23377.601612111764553,0.412540004000000,23377.601974864905060,0.082283736000000,0.000362753140507,80.054361952253245,-4487.194457313597013,0.001410615000000 
 
 
POSCAR5,13144.864811415762233,0.638096277000000,13144.863664465223337,0.098483488000000,0.001146950538896,84.566045665864323,-3841.811527377878519,0.002213595000000 
,13144.864811415640361,0.646243388000000,13144.863664465150578,0.102743698000000,0.001146950489783,84.101392771232497,-3841.811527377873517,0.002199023000000 
,13144.864811415882286,0.647602102000000,13144.863664465045076,0.094244739000000,0.001146950837210,85.447122745750463,-3841.811527377877610,0.002221999000000 
,13144.864811415673103,0.646114637000000,13144.863664464990507,0.094389656000000,0.001146950682596,85.391190572888988,-3841.811527377885341,0.002179676000000 
,13144.864811415529402,0.633638060000000,13144.863664465165130,0.094348479000000,0.001146950364273,85.110036003834750,-3841.811527377870789,0.002198988000000 
 
 
POSCAR6,29109.561770970394718,1.405906994000000,29109.561266418091691,0.152242493000000,0.000504552303028,89.171225859909200,4128.047853564164143,0.004941039000000 
,29109.561770970332873,1.397044115000000,29109.561266418222658,0.151555182000000,0.000504552110215,89.151725391291592,4128.047853564159595,0.004956196000000 
,29109.561770970220095,1.407246446000000,29109.561266418058949,0.154903722000000,0.000504552161146,88.992424003606260,4128.047853564162324,0.004936379000000 
,29109.561770970376529,1.458725018000000,29109.561266418142623,0.205015286000000,0.000504552233906,85.945583748122147,4128.047853564154138,0.004959210000000 
,29109.561770970271027,1.398715594000000,29109.561266417655133,0.151645414000000,0.000504552615894,89.158238125712913,4128.047853564156867,0.004924574000000 
 
 
POSCAR7,79924.175394629797665,5.593310816000000,79924.176524763286579,0.441963312000000,0.001130133488914,92.098359513014401,1324.092494745372733,0.019545213000000 
,79924.175394630496157,5.531353781000000,79924.176524763155612,0.397263738000000,0.001130132659455,92.817965479543417,1324.092494745311569,0.019546752000000 
,79924.175394625854096,5.532967638000000,79924.176524761482142,0.389614010000000,0.001130135628046,92.958317570409037,1324.092494745371823,0.019546537000000 
,79924.175394629448419,5.588996006000000,79924.176524759051972,0.399159334000000,0.001130129603553,92.858120965348917,1324.092494745307704,0.019526860000000 
